dhsclust,urban_rural,NumOfResCS,cSectionPerClus,weightDenomCS,wNumOfCsection,cSecRate
587,urban,9,5,5.33104223,2.961690128,55.55555556
588,urban,6,2,2.515902042,0.838634014,33.33333333
589,urban,7,2,2.911159962,0.831759989,28.57142857
590,urban,7,2,3.113536924,0.889581978,28.57142857
591,urban,8,0,3.835720062,0,0
592,urban,4,4,1.842244029,1.842244029,100
593,urban,12,2,4.619364023,0.769894004,16.66666667
594,urban,9,3,3.142529994,1.047509998,33.33333333
595,urban,4,0,1.936687946,0,0
596,urban,11,3,5.027341127,1.371093035,27.27272727
597,urban,6,3,3.077183962,1.538591981,50
598,urban,7,4,3.257239938,1.861279964,57.14285714
599,urban,8,3,3.262048006,1.223268002,37.5
600,urban,7,7,2.925593913,2.925593913,100
601,urban,6,5,2.677128017,2.230940014,83.33333333
602,urban,6,6,2.519651949,2.519651949,100
603,urban,13,10,7.08156836,5.447360277,76.92307692
604,urban,8,4,2.717272043,1.358636022,50
605,rural,21,4,15.7144255,2.993223906,19.04761905
606,rural,7,5,5.027988076,3.591420054,71.42857143
607,rural,9,1,5.863725185,0.651525021,11.11111111
608,rural,20,0,23.10303926,0,0
609,rural,8,1,5.534832001,0.691854,12.5
610,rural,7,1,4.0145908,0.573512971,14.28571429
611,rural,7,2,3.965324819,1.132949948,28.57142857
612,rural,9,0,6.378300011,0,0
613,rural,9,2,5.267007172,1.170446038,22.22222222
614,rural,8,2,5.371304035,1.342826009,25
615,rural,6,0,3.972198129,0,0
616,rural,11,3,6.635046124,1.809558034,27.27272727
617,rural,16,1,10.5763998,0.661024988,6.25
618,rural,10,1,7.179380059,0.717938006,10
619,rural,6,2,3.369300127,1.123100042,33.33333333
620,rural,10,2,5.608270168,1.121654034,20
621,rural,11,0,7.428993046,0,0
622,rural,6,2,2.906604052,0.968868017,33.33333333
623,rural,3,1,2.358603001,0.786201,33.33333333
624,rural,10,1,6.804230213,0.680423021,10
625,rural,7,3,4.652402878,1.993886948,42.85714286
626,rural,14,2,10.16682816,1.452404022,14.28571429
627,rural,20,1,13.89649987,0.694824994,5
628,rural,10,4,6.136220098,2.454488039,40
629,rural,19,6,11.45042562,3.615923882,31.57894737
630,rural,16,7,10.5413599,4.611844957,43.75
631,rural,13,3,8.138467848,1.878107965,23.07692308
632,rural,6,0,4.090182066,0,0
633,rural,11,1,6.912069857,0.628369987,9.090909091
634,rural,10,2,6.736479998,1.347296,20
635,rural,14,1,9.101722002,0.650123,7.142857143
636,rural,11,1,7.21726495,0.656114995,9.090909091
637,urban,11,1,4.084310949,0.371300995,9.090909091
638,urban,9,0,3.041721046,0,0
639,rural,15,0,9.783375263,0,0
640,rural,11,2,7.239781976,1.316323996,18.18181818
641,rural,4,1,2.797384024,0.699346006,25
642,rural,8,4,4.796616077,2.398308039,50
643,rural,19,7,11.66713971,4.298419893,36.84210526
644,rural,5,3,3.269299865,1.961579919,60
645,rural,20,8,11.90322042,4.761288166,40
646,rural,11,8,7.092392921,5.158103943,72.72727273
647,rural,12,6,7.110719919,3.55535996,50
648,rural,14,1,8.872374296,0.633741021,7.142857143
649,rural,17,3,13.73105264,2.423126936,17.64705882
650,rural,21,4,12.95786083,2.468163967,19.04761905
651,rural,11,3,6.881435215,1.876755059,27.27272727
652,rural,13,5,8.585174084,3.301990032,38.46153846
653,rural,17,3,10.08409446,1.779546082,17.64705882
654,urban,12,0,2.133576035,0,0
655,urban,5,3,1.627254933,0.97635296,60
656,urban,5,0,1.626445055,0,0
657,urban,12,2,4.084787965,0.680797994,16.66666667
658,urban,7,1,1.428783953,0.204111993,14.28571429
659,urban,3,3,1.037153989,1.037153989,100
660,urban,24,3,8.358120203,1.044765025,12.5
661,urban,11,2,3.773637891,0.68611598,18.18181818
662,urban,10,5,3.167769909,1.583884954,50
663,urban,7,1,2.311371952,0.330195993,14.28571429
664,urban,5,4,1.687570065,1.350056052,80
665,urban,9,5,2.893652916,1.607584953,55.55555556
666,urban,12,0,4.164564013,0,0
667,urban,6,0,1.434581995,0,0
668,urban,6,0,1.300800025,0,0
669,urban,6,2,1.291644037,0.430548012,33.33333333
670,urban,18,16,4.074623913,3.621887922,88.88888889
671,urban,8,5,1.72547996,1.078424975,62.5
672,urban,7,5,1.517039999,1.0836,71.42857143
673,urban,6,3,1.400346011,0.700173005,50
674,urban,7,4,1.536268994,0.877867997,57.14285714
675,urban,13,9,2.887898058,1.99931404,69.23076923
